C_TICK_N C_S C C_ TO_CHAR(C_FLT_ST SUBST SL_LOCATION_NAME                                   C_TO_ SUBSTR(T.SL_LOC
EUKFL175 509 O E6 13/09/2021 11:30 57366 London                                             15035 Cardiff

EUKFL214 509 O EE 20/07/2021 15:30 57366 London                                             15035 Cardiff

EUKFL325 509 O EE 21/07/2021 15:30 57366 London                                             15010 Cardiff Univers

EUKFL343 509 O E9 24/07/2021 12:30 57366 London                                             15035 Cardiff

EUKFL343 509 I EF 01/08/2021 12:45 15035 Cardiff                                            57366 London

EUKFL458 509 I EA 23/10/2021 07:45 15255 Newport [S.Wales]                                  57366 London

EUKFL458 509 O EG 25/10/2021 16:30 57366 London                                             15255 Newport [S.Wale

EUKFL502 509 I E9 04/08/2021 07:15 15255 Newport [S.Wales]                                  57366 London

EUKFL502 509 O EH 04/08/2021 17:30 57366 London                                             15255 Newport [S.Wale

EUKFL527 509 O E2 26/07/2021 08:30 57366 London                                             15010 Cardiff Univers

EUKFL528 509 O EM 22/07/2021 20:30 57366 London                                             15115 Cardiff (Gabalf

EUKFL540 509 O EE 20/07/2021 15:30 57366 London                                             15035 Cardiff

EUKFL540 509 I EF 24/07/2021 12:45 15035 Cardiff                                            57366 London

EUKFL566 509 I E4 24/07/2021 04:55 15255 Newport [S.Wales]                                  57366 London

EUKFL566 509 O EI 25/07/2021 18:00 57366 London                                             15255 Newport [S.Wale

EUKFL588 509 I E8 03/09/2021 07:15 15255 Newport [S.Wales]                                  57366 London

EUKFL588 509 O E9 05/09/2021 12:30 57366 London                                             15255 Newport [S.Wale

EUKFL686 509 O EH 10/08/2021 17:30 57366 London                                             15035 Cardiff

